"","login","host","data"
"98","christian.sanchez","194.29.178.215",2014-09-01 18:10:27
"99","k.simmons","193.0.96.13.32",2014-09-01 18:26:13
"100","deanna.hayes","194.29.178.63",2014-09-01 18:27:23
"101","jmos","194.29.178.124",2014-09-01 18:28:27
"102","v.harrington","194.29.178.51",2014-09-01 18:36:39
"103","s.ramos","194.29.178.33",2014-09-01 18:40:28
"104","stella.holmes","194.29.178.109",2014-09-01 18:55:07
"105","ltur","193.0.96.13.10",2014-09-01 18:59:57
"106","j.mendoza","194.29.178.193",2014-09-01 19:06:24
"107","maurice.ferguson","193.0.96.13.44",2014-09-01 19:45:15
"108","vmck","194.29.178.16",2014-09-01 20:07:38
"109","a.powers","194.29.178.123",2014-09-01 20:25:28
"110","slap","194.29.178.16",2014-09-01 20:32:48
"111","r.chase","194.29.178.228",2014-09-01 20:40:57
"112","kelly.davenport","193.0.96.13.22",2014-09-01 20:44:00
"113","cbro","193.0.96.13.30",2014-09-01 20:51:38
"114","r.daniel","193.0.96.13.41",2014-09-01 20:56:01
"115","agnes.neal","193.0.96.13.31",2014-09-01 20:56:32
"116","ralph.roberts","193.0.96.13.49",2014-09-01 21:02:18
"117","k.saunders","194.29.178.243",2014-09-01 21:04:35
"118","michelle.contreras","194.29.178.206",2014-09-01 21:16:51
"119","ssan","194.29.178.8",2014-09-01 21:20:28
"120","jlam","194.29.178.38",2014-09-01 21:26:05
"121","g.sherman","194.29.178.53",2014-09-01 21:32:53
"122","e.small","194.29.178.155",2014-09-01 21:40:24
"123","b.norman","194.29.178.78",2014-09-01 21:41:28
"124","m.jimenez","194.29.178.115",2014-09-01 21:56:13
"125","leo.steele","194.29.178.75",2014-09-01 22:07:16
"126","nbis","194.29.178.104",2014-09-01 22:16:25
"127","kent.mccormick","194.29.178.1",2014-09-01 22:27:37
"128","k.patel","194.29.178.189",2014-09-01 22:46:14
"129","j.lambert","194.29.178.53",2014-09-01 22:59:52
"130","cody.blake","193.0.96.13.13",2014-09-01 23:07:07
"131","amar","194.29.178.123",2014-09-01 23:12:20
"132","jree","193.0.96.13.50",2014-09-01 23:18:32
"133","raul.becker","194.29.178.206",2014-09-01 23:19:13
"134","jennifer.ellis","193.0.96.13.20",2014-09-01 23:30:52
"135","w.o.brien","194.29.178.155",2014-09-01 23:31:24
"136","rhou","194.29.178.140",2014-09-01 23:32:07
"137","patricia.marshall","194.29.178.15",2014-09-01 23:38:26
"138","katie.george","194.29.178.247",2014-09-01 23:41:15
"139","bfit","193.0.96.13.27",2014-09-01 23:49:49
"140","warren.dickerson","194.29.178.32",2014-09-01 23:56:57
"141","j.wise","194.29.178.180",2014-09-01 23:59:53
"142","cody.blake","194.29.178.62",2014-09-02 00:02:33
"143","edou","194.29.178.158",2014-09-02 00:14:13
"144","clov","194.29.178.214",2014-09-02 00:24:15
"145","t.miller","194.29.178.124",2014-09-02 00:32:15
"146","r.patton","194.29.178.223",2014-09-02 00:33:20
"147","juan.briggs","194.29.178.40",2014-09-02 00:35:11
"148","cnun","194.29.178.91",2014-09-02 00:55:51
"149","jordan.alvarado","194.29.178.61",2014-09-02 00:56:54
"150","l.russell","194.29.178.162",2014-09-02 01:04:56
"151","apar","194.29.178.245",2014-09-02 01:06:29
"152","charlene.terry","194.29.178.85",2014-09-02 01:09:55
"153","cbow","194.29.178.15",2014-09-02 01:32:13
"154","msno","194.29.178.32",2014-09-02 01:33:38
"155","esal","194.29.178.80",2014-09-02 01:41:42
"156","r.garrison","193.0.96.13.38",2014-09-02 02:07:47
"157","jhar","194.29.178.52",2014-09-02 02:10:51
"158","j.patrick","194.29.178.77",2014-09-02 02:38:04
"159","c.fuller","194.29.178.13",2014-09-02 02:44:51
"160","jsco","194.29.178.229",2014-09-02 03:14:15
"161","mper","193.0.96.13.3",2014-09-02 03:18:32
"162","elmer.howard","193.0.96.13.2",2014-09-02 03:31:38
"163","j.newman","194.29.178.243",2014-09-02 03:42:55
"164","lsim","194.29.178.183",2014-09-02 03:58:39
"165","eyat","194.29.178.151",2014-09-02 04:04:04
"166","l.stone","194.29.178.65",2014-09-02 04:05:09
"167","mbea","194.29.178.173",2014-09-02 04:30:02
"168","michele.casey","194.29.178.154",2014-09-02 04:31:19
"169","clov","194.29.178.214",2014-09-02 04:46:30
"170","rtho","194.29.178.221",2014-09-02 04:47:20
"171","d.baker","194.29.178.202",2014-09-02 04:48:57
"172","sharon.ware","194.29.178.163",2014-09-02 05:05:49
"173","f.gross","194.29.178.173",2014-09-02 05:07:27
"174","clifford.stephens","193.0.96.13.33",2014-09-02 05:22:25
"175","j.garrett","194.29.178.130",2014-09-02 05:25:16
"176","stella.holmes","194.29.178.180",2014-09-02 05:27:04
"177","vril","194.29.178.94",2014-09-02 05:27:24
"178","jeanne.hoover","194.29.178.11",2014-09-02 05:30:53
"179","jennifer.ellis","194.29.178.42",2014-09-02 05:42:23
"180","labb","194.29.178.128",2014-09-02 06:08:17
"181","mbre","194.29.178.130",2014-09-02 06:41:12
"182","emily.ruiz","194.29.178.139",2014-09-02 06:43:19
"183","k.holland","194.29.178.18",2014-09-02 06:50:33
"184","j.hardy","194.29.178.163",2014-09-02 06:53:15
"185","d.melton","194.29.178.73",2014-09-02 06:58:05
"186","a.ball","194.29.178.107",2014-09-02 06:59:14
"187","george.washington","194.29.178.51",2014-09-02 07:00:47
"188","s.clayton","194.29.178.4",2014-09-02 07:03:33
"189","rcan","194.29.178.108",2014-09-02 07:08:28
"190","sarah.skinner","194.29.178.219",2014-09-02 07:39:59
"191","emac","194.29.178.4",2014-09-02 07:56:26
"192","r.bailey","194.29.178.49",2014-09-02 08:01:15
"193","jtod","194.29.178.76",2014-09-02 08:04:07
"194","ann.humphrey","194.29.178.66",2014-09-02 08:18:39
"195","s.ramos","194.29.178.33",2014-09-02 08:23:54
"196","mowe","194.29.178.18",2014-09-02 08:25:00
"197","cort","194.29.178.244",2014-09-02 08:31:50
"198","cjam","194.29.178.197",2014-09-02 08:37:07
"199","nmar","193.0.96.13.15",2014-09-02 09:17:54
"200","d.little","194.29.178.81",2014-09-02 09:40:55
"201","a.ball","194.29.178.99",2014-09-02 09:46:43
"202","r.craig","193.0.96.13.21",2014-09-02 09:49:36
"203","laura.wells","194.29.178.67",2014-09-02 10:07:13
"204","g.horn","194.29.178.156",2014-09-02 10:08:06
"205","bjef","194.29.178.151",2014-09-02 10:12:08
"206","shirley.evans","194.29.178.185",2014-09-02 10:26:40
"207","e.perez","194.29.178.231",2014-09-02 10:29:07
"208","charlene.terry","194.29.178.85",2014-09-02 10:42:10
"209","hmax","193.0.96.13.30",2014-09-02 10:44:50
"210","samantha.hubbard","193.0.96.13.45",2014-09-02 10:48:24
"211","k.mosley","194.29.178.27",2014-09-02 10:57:18
"212","leo.steele","194.29.178.3",2014-09-02 11:08:15
"213","bonnie.flowers","194.29.178.215",2014-09-02 11:12:06
"214","deborah.phillips","194.29.178.6",2014-09-02 11:29:24
"215","amar","193.0.96.13.23",2014-09-02 11:31:29
"216","l.hill","194.29.178.121",2014-09-02 11:39:24
"217","theresa.griffin","193.0.96.13.9",2014-09-02 11:41:03
"218","jay.hawkins","194.29.178.194",2014-09-02 12:12:38
"219","alicia.rodriguez","194.29.178.134",2014-09-02 12:24:38
"220","d.dominguez","194.29.178.33",2014-09-02 12:28:32
"221","samantha.hubbard","193.0.96.13.45",2014-09-02 12:46:41
"222","hjen","194.29.178.134",2014-09-02 12:51:32
"223","jennifer.ellis","193.0.96.13.20",2014-09-02 12:52:34
"224","frei","194.29.178.31",2014-09-02 13:00:10
"225","drob","194.29.178.88",2014-09-02 13:01:31
"226","jtod","194.29.178.76",2014-09-02 13:06:07
"227","francisco.allen","194.29.178.15",2014-09-02 13:08:19
"228","d.mcgee","194.29.178.243",2014-09-02 13:12:10
"229","rlar","194.29.178.75",2014-09-02 13:14:20
"230","cbla","194.29.178.151",2014-09-02 13:30:36
"231","j.patrick","194.29.178.164",2014-09-02 13:52:34
"232","reginald.andrews","194.29.178.236",2014-09-02 13:57:34
"233","d.dominguez","194.29.178.167",2014-09-02 13:58:46
"234","elizabeth.mendez","194.29.178.10",2014-09-02 14:03:51
"235","tyrone.cline","194.29.178.61",2014-09-02 14:07:20
"236","v.harrington","194.29.178.68",2014-09-02 14:07:42
"237","jhar","194.29.178.52",2014-09-02 14:10:42
"238","labb","194.29.178.128",2014-09-02 14:13:39
"239","a.rodgers","193.0.96.13.54",2014-09-02 14:22:52
"240","mbea","194.29.178.173",2014-09-02 14:31:56
"241","m.santiago","194.29.178.102",2014-09-02 14:44:25
"242","v.bush","194.29.178.162",2014-09-02 14:47:23
"243","edan","194.29.178.178",2014-09-02 14:50:16
"244","s.edwards","194.29.178.50",2014-09-02 14:53:32
"245","jeffrey.morris","194.29.178.179",2014-09-02 14:55:43
"246","kristen.pearson","194.29.178.160",2014-09-02 15:10:35
"247","pedro.webster","194.29.178.235",2014-09-02 15:14:28
"248","s.clayton","194.29.178.4",2014-09-02 15:24:25
"249","v.padilla","193.0.96.13.16",2014-09-02 15:39:27
"250","r.hicks","194.29.178.253",2014-09-02 15:45:27
"251","s.mccoy","194.29.178.17",2014-09-02 15:56:42
"252","soli","194.29.178.153",2014-09-02 16:32:41
"253","johnins","194.29.178.13",2014-09-02 16:41:25
"254","sbow","194.29.178.187",2014-09-02 16:53:34
"255","baus","194.29.178.98",2014-09-02 16:59:47
"256","r.hicks","194.29.178.85",2014-09-02 17:05:11
"257","eyat","194.29.178.218",2014-09-02 17:06:31
"258","j.webb","194.29.178.124",2014-09-02 17:11:55
"259","bcha","194.29.178.5",2014-09-02 17:12:19
"260","s.clayton","194.29.178.255",2014-09-02 17:13:51
"261","bernard.klein","194.29.178.164",2014-09-02 17:17:04
"262","e.perez","194.29.178.34",2014-09-02 17:24:29
"263","isaac.arnold","193.0.96.13.9",2014-09-02 17:27:50
"264","g.fernandez","193.0.96.13.5",2014-09-02 17:45:08
"265","doris.gutierrez","194.29.178.206",2014-09-02 17:46:40
"266","k.simmons","194.29.178.8",2014-09-02 17:52:30
"267","t.baxter","194.29.178.62",2014-09-02 17:59:48
"268","betty.walters","193.0.96.13.33",2014-09-02 18:06:23
"269","dana.watkins","193.0.96.13.45",2014-09-02 18:10:58
"270","elaine.potter","194.29.178.137",2014-09-02 18:22:00
"271","ttay","194.29.178.78",2014-09-02 18:42:10
"272","lnas","193.0.96.13.39",2014-09-02 19:15:29
"273","gabriel.vazquez","194.29.178.81",2014-09-02 19:16:33
"274","mhar","194.29.178.81",2014-09-02 19:45:59
"275","jeanne.hoover","193.0.96.13.11",2014-09-02 19:59:44
"276","r.kelly","194.29.178.85",2014-09-02 19:59:48
"277","f.gross","194.29.178.5",2014-09-02 20:12:47
"278","lcoo","194.29.178.42",2014-09-02 20:13:38
"279","phillip.deleon","194.29.178.7",2014-09-02 20:18:59
"280","fmal","194.29.178.116",2014-09-02 20:28:01
"281","willard.bond","193.0.96.13.49",2014-09-02 20:50:53
"282","baus","194.29.178.98",2014-09-02 21:13:21
"283","bobby.eaton","194.29.178.219",2014-09-02 21:21:11
"284","c.sawyer","194.29.178.173",2014-09-02 21:44:49
"285","charlene.terry","194.29.178.85",2014-09-02 21:46:15
"286","ssan","193.0.96.13.52",2014-09-02 21:52:00
"287","clyde.reese","194.29.178.91",2014-09-02 21:55:47
"288","j.olsen","194.29.178.9",2014-09-02 22:03:20
"289","jesus.booth","194.29.178.156",2014-09-02 22:05:16
"290","dave.coleman","194.29.178.78",2014-09-02 22:06:33
"291","g.walton","193.0.96.13.15",2014-09-02 22:12:28
"292","tyrone.cline","194.29.178.123",2014-09-02 22:20:25
"293","m.lucas","194.29.178.41",2014-09-02 22:42:18
"294","martha.wilson","194.29.178.134",2014-09-02 22:46:38
"295","m.valdez","194.29.178.248",2014-09-02 22:52:23
"296","pedro.webster","194.29.178.235",2014-09-02 22:54:56
"297","jgri","194.29.178.145",2014-09-02 22:55:14
"298","vera.petersen","194.29.178.131",2014-09-02 22:56:02
"299","velma.jennings","194.29.178.5",2014-09-02 23:13:35
"300","d.martin","194.29.178.35",2014-09-02 23:16:59
"301","k.jackson","193.0.96.13.28",2014-09-02 23:36:28
"302","corey.gray","194.29.178.137",2014-09-02 23:38:19
"303","carole.randall","194.29.178.103",2014-09-03 00:18:19
"304","slun","194.29.178.9",2014-09-03 00:30:15
"305","jessie.tucker","193.0.96.13.37",2014-09-03 00:56:05
"306","ryan.beck","194.29.178.232",2014-09-03 00:57:22
"307","k.guzman","194.29.178.160",2014-09-03 01:01:45
"308","edan","193.0.96.13.49",2014-09-03 01:07:55
"309","c.tran","194.29.178.239",2014-09-03 01:10:48
"310","josephine.snyder","194.29.178.156",2014-09-03 01:26:47
"311","k.saunders","194.29.178.202",2014-09-03 01:28:38
"312","dhay","194.29.178.149",2014-09-03 01:34:39
"313","raul.becker","194.29.178.118",2014-09-03 01:34:40
"314","eleanor.warner","194.29.178.24",2014-09-03 01:36:56
"315","anic","194.29.178.249",2014-09-03 01:41:38
"316","jmos","194.29.178.186",2014-09-03 01:50:53
"317","m.sullivan","194.29.178.118",2014-09-03 01:58:41
"318","talv","194.29.178.64",2014-09-03 02:10:21
"319","gcun","194.29.178.74",2014-09-03 02:22:04
"320","g.sherman","194.29.178.53",2014-09-03 02:27:13
"321","d.melton","194.29.178.73",2014-09-03 02:32:23
"322","soli","194.29.178.153",2014-09-03 02:33:36
"323","rtho","194.29.178.164",2014-09-03 02:34:07
"324","dmur","194.29.178.236",2014-09-03 02:54:36
"325","g.fernandez","193.0.96.13.5",2014-09-03 03:01:35
"326","christopher.medina","194.29.178.212",2014-09-03 03:12:09
"327","cbla","193.0.96.13.54",2014-09-03 03:14:57
"328","d.baker","194.29.178.28",2014-09-03 03:26:23
"329","a.powers","194.29.178.123",2014-09-03 03:26:59
"330","ssan","193.0.96.13.52",2014-09-03 03:48:08
"331","a.ford","194.29.178.78",2014-09-03 03:52:22
"332","jordan.alvarado","194.29.178.173",2014-09-03 03:52:39
"333","harold.espinoza","194.29.178.51",2014-09-03 03:53:55
"334","christian.sanchez","194.29.178.67",2014-09-03 04:12:44
"335","r.garrison","193.0.96.13.38",2014-09-03 04:37:45
"336","e.small","194.29.178.155",2014-09-03 04:38:19
"337","beverly.hopkins","193.0.96.13.18",2014-09-03 04:39:36
"338","d.dominguez","194.29.178.167",2014-09-03 04:41:41
"339","m.valdez","194.29.178.165",2014-09-03 04:45:55
"340","sbow","194.29.178.56",2014-09-03 04:51:11
"341","dean.hammond","194.29.178.43",2014-09-03 04:54:05
"342","phyllis.underwood","193.0.96.13.5",2014-09-03 04:54:45
"343","patsy.fox","194.29.178.56",2014-09-03 05:08:20
"344","a.allison","194.29.178.65",2014-09-03 05:08:28
"345","carole.randall","194.29.178.103",2014-09-03 05:12:57
"346","mathew.rose","193.0.96.13.33",2014-09-03 05:23:07
"347","a.mason","194.29.178.236",2014-09-03 05:26:12
"348","cbur","194.29.178.235",2014-09-03 05:34:55
"349","ccam","193.0.96.13.13",2014-09-03 05:38:59
"350","raul.becker","194.29.178.118",2014-09-03 05:44:08
"351","christopher.medina","194.29.178.99",2014-09-03 06:08:45
"352","yngu","194.29.178.66",2014-09-03 06:43:04
"353","e.kramer","194.29.178.219",2014-09-03 06:44:11
"354","neil.williams","194.29.178.104",2014-09-03 06:52:18
"355","edan","194.29.178.178",2014-09-03 07:00:34
"356","dolores.bowen","194.29.178.96",2014-09-03 07:08:14
"357","yngu","194.29.178.66",2014-09-03 07:16:51
"358","s.barnett","194.29.178.61",2014-09-03 07:18:45
"359","rhonda.harmon","194.29.178.192",2014-09-03 07:19:13
"360","jesus.booth","194.29.178.1",2014-09-03 07:20:19
"361","hjen","194.29.178.134",2014-09-03 07:25:13
"362","t.palmer","194.29.178.139",2014-09-03 07:38:40
"363","t.leonard","194.29.178.66",2014-09-03 07:43:01
"364","gsim","194.29.178.235",2014-09-03 07:45:06
"365","warren.dickerson","194.29.178.32",2014-09-03 07:57:26
"366","w.o.brien","194.29.178.155",2014-09-03 08:00:52
"367","cody.blake","193.0.96.13.13",2014-09-03 08:02:54
"368","r.brown","194.29.178.130",2014-09-03 08:23:08
"369","l.norton","194.29.178.76",2014-09-03 08:23:50
"370","hgar","194.29.178.65",2014-09-03 08:26:05
"371","jpit","194.29.178.237",2014-09-03 08:29:03
"372","cnun","194.29.178.91",2014-09-03 08:35:49
"373","jflo","193.0.96.13.28",2014-09-03 08:41:28
"374","l.harper","194.29.178.193",2014-09-03 08:45:11
"375","aant","194.29.178.76",2014-09-03 08:45:44
"376","slap","194.29.178.16",2014-09-03 09:10:41
"377","jbel","194.29.178.34",2014-09-03 09:15:49
"378","a.wallace","194.29.178.13",2014-09-03 09:21:24
"379","warren.dickerson","194.29.178.32",2014-09-03 09:27:02
"380","jamie.fields","194.29.178.168",2014-09-03 09:49:13
"381","t.green","194.29.178.78",2014-09-03 09:49:56
"382","jeanette.ward","194.29.178.74",2014-09-03 09:50:29
"383","wilma.myers","194.29.178.152",2014-09-03 09:53:45
"384","mrom","193.0.96.13.15",2014-09-03 09:55:41
"385","ashley.cummings","194.29.178.122",2014-09-03 10:00:08
"386","dean.hammond","193.0.96.13.22",2014-09-03 10:00:39
"387","clov","194.29.178.50",2014-09-03 10:12:31
"388","k.gonzalez","194.29.178.93",2014-09-03 10:23:19
"389","andy.copeland","194.29.178.201",2014-09-03 10:25:33
"390","f.barnes","193.0.96.13.46",2014-09-03 10:31:27
"391","phyllis.underwood","193.0.96.13.5",2014-09-03 10:36:07
"392","mwat","194.29.178.159",2014-09-03 10:38:38
"393","gswa","194.29.178.115",2014-09-03 10:39:00
"394","t.green","194.29.178.118",2014-09-03 10:55:52
"395","katie.george","194.29.178.247",2014-09-03 11:08:49
"396","c.richards","194.29.178.40",2014-09-03 11:09:29
"397","amar","194.29.178.123",2014-09-03 11:20:32
"398","dana.watkins","194.29.178.216",2014-09-03 11:23:39
"399","dgri","194.29.178.167",2014-09-03 11:26:11
"400","a.miles","193.0.96.13.13",2014-09-03 11:38:42
"401","rcan","194.29.178.108",2014-09-03 11:43:37
"402","pedro.webster","194.29.178.121",2014-09-03 11:44:02
"403","brett.johnson","194.29.178.8",2014-09-03 12:37:45
"404","ccar","194.29.178.215",2014-09-03 12:44:09
"405","p.vargas","194.29.178.206",2014-09-03 12:45:33
"406","cree","194.29.178.17",2014-09-03 12:50:16
"407","jnew","194.29.178.146",2014-09-03 12:51:25
"408","k.atkins","194.29.178.154",2014-09-03 13:08:47
"409","m.brady","194.29.178.233",2014-09-03 13:09:16
"410","harold.espinoza","194.29.178.51",2014-09-03 13:14:18
"411","ricky.vaughn","194.29.178.85",2014-09-03 13:26:57
"412","d.baker","194.29.178.28",2014-09-03 13:30:09
"413","jmur","194.29.178.124",2014-09-03 13:38:58
"414","t.baxter","194.29.178.62",2014-09-03 13:49:46
"415","rhonda.harmon","194.29.178.184",2014-09-03 13:51:46
"416","r.hicks","194.29.178.85",2014-09-03 13:57:12
"417","gcun","194.29.178.197",2014-09-03 13:57:28
"418","carole.randall","194.29.178.103",2014-09-03 14:01:32
"419","dbry","194.29.178.141",2014-09-03 14:08:52
"420","a.sutton","194.29.178.84",2014-09-03 14:13:21
"421","gswa","194.29.178.115",2014-09-03 14:23:17
"422","joseph.tate","193.0.96.13.34",2014-09-03 14:25:01
"423","lcar","194.29.178.173",2014-09-03 14:26:11
"424","rjoh","193.0.96.13.15",2014-09-03 14:34:35
"425","awon","194.29.178.82",2014-09-03 14:36:13
"426","g.hogan","194.29.178.54",2014-09-03 14:38:30
"427","rkem","194.29.178.183",2014-09-03 14:46:22
"428","jdun","194.29.178.71",2014-09-03 14:46:41
"429","ruben.kim","194.29.178.169",2014-09-03 14:50:36
"430","jcon","194.29.178.190",2014-09-03 15:00:05
"431","mtyl","194.29.178.60",2014-09-03 15:02:35
"432","dmar","194.29.178.99",2014-09-03 15:11:34
"433","r.patton","194.29.178.238",2014-09-03 15:11:57
"434","leo.steele","194.29.178.3",2014-09-03 15:17:41
"435","cree","194.29.178.17",2014-09-03 15:22:02
"436","alfred.young","193.0.96.13.12",2014-09-03 15:27:24
"437","bcha","194.29.178.129",2014-09-03 15:30:50
"438","l.gordon","194.29.178.181",2014-09-03 15:49:15
"439","jbra","194.29.178.53",2014-09-03 16:01:52
"440","z.stevenson","194.29.178.230",2014-09-03 16:11:32
"441","theresa.griffin","193.0.96.13.9",2014-09-03 16:16:28
"442","marsha.erickson","194.29.178.81",2014-09-03 16:46:10
"443","jtod","194.29.178.109",2014-09-03 16:53:33
"444","k.brooks","193.0.96.13.20",2014-09-03 17:26:12
"445","aant","194.29.178.117",2014-09-03 17:41:47
"446","ltur","193.0.96.13.10",2014-09-03 17:41:58
"447","msot","193.0.96.13.0",2014-09-03 17:42:34
"448","k.simmons","193.0.96.13.32",2014-09-03 17:44:36
"449","chris.howell","194.29.178.25",2014-09-03 17:53:34
"450","p.freeman","194.29.178.155",2014-09-03 18:00:00
"451","christian.sanchez","194.29.178.67",2014-09-03 18:09:48
"452","carole.randall","194.29.178.247",2014-09-03 18:17:49
"453","p.rhodes","193.0.96.13.32",2014-09-03 18:19:16
"454","awal","193.0.96.13.39",2014-09-03 18:19:48
"455","ccam","194.29.178.215",2014-09-03 18:21:48
"456","freddie.gill","194.29.178.159",2014-09-03 18:24:02
"457","ksmi","194.29.178.233",2014-09-03 18:30:19
"458","ccar","194.29.178.240",2014-09-03 18:36:38
"459","rosemary.cole","193.0.96.13.38",2014-09-03 18:43:19
"460","sbow","194.29.178.56",2014-09-03 18:43:34
"461","velma.jennings","194.29.178.118",2014-09-03 18:45:34
"462","ricky.vaughn","194.29.178.85",2014-09-03 18:46:14
"463","m.brady","194.29.178.158",2014-09-03 19:00:27
"464","ksmi","194.29.178.151",2014-09-03 19:01:55
"465","c.gilmore","194.29.178.97",2014-09-03 19:18:59
